"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_legendary_arena.sc","LegendaryArena_ground_layer",
"Objects",,,
,"legendary_statue1",,
,,"x","y"
,,"int","int"
,,4833,-248
,"legendary_statue2",,
,,"x","y"
,,"int","int"
,,13097,-165
,"legendary_statue3",,
,,"x","y"
,,"int","int"
,,4964,31541
,"legendary_statue4",,
,,"x","y"
,,"int","int"
,,13199,31375
,"legendary_torch2",,
,,"x","y"
,,"int","int"
,,20631,18458
,,23068,18082
,"smoke_glow1",,
,,"x","y"
,,"int","int"
,,6197,15625
,,11699,15625
,"smoke_glow2",,
,,"x","y"
,,"int","int"
,,8899,15625
,"smoke_glow3",,
,,"x","y"
,,"int","int"
,,1500,15750
,,16500,15750
,"LegendaryArena_Crystal1",,
,,"x","y"
,,"int","int"
,,432,14166
,,3266,31625
,,3197,-579
,"LegendaryArena_Crystal2",,
,,"x","y"
,,"int","int"
,,17766,13958
,,24135,20166
,"LegendaryArena_Crystal3",,
,,"x","y"
,,"int","int"
,,497,17207
,,20099,19666
,,11765,-749
,,14364,-209
,"LegendaryArena_Crystal4",,
,,"x","y"
,,"int","int"
,,17700,17041
,"LegendaryArena_Island1_float",,
,,"x","y"
,,"int","int"
,,-4000,6500
,,-17500,-5000
,"LegendaryArena_Island2_float",,
,,"x","y"
,,"int","int"
,,22000,7333
,,-37000,31000
,"LegendaryArena_Island2_float_blue",,
,,"x","y"
,,"int","int"
,,-4000,24000
,,39500,34500
,"LegendaryArena_Island1_float_blue",,
,,"x","y"
,,"int","int"
,,22000,28000
,"foldableRightFrame",,
,,"x","y"
,,"int","int"
,,81000,-110000
,,81000,-12306
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,10000,53500
,,10000,-100500
,,9500,96000
,,86000,97000
,"foldableTopFrame",,
,,"x","y"
,,"int","int"
,,15500,-106500
,,-52500,-106500
,"foldableLeftFrame",,
,,"x","y"
,,"int","int"
,,-55500,-60500
,,135000,17000
,,127000,-101500
,,125500,-25500
,,-98000,-50000
,,-98000,-73000
,,182500,-42000
,,190000,-110000
,,231500,-104500
,,256500,-102000
,,249000,4000
,,228500,-19000
,,197000,45500
,,-138500,-47500
"Background",,,
