"FileName",,,
,"SC","ExportName",
,"string","string",
,"sc/level_legendary_arena.sc","LegendaryArena_ground_layer",
"Objects",,,
,"legendary_statue1",,
,,"x","y"
,,"int","int"
,,2833,-248
,"legendary_statue2",,
,,"x","y"
,,"int","int"
,,15097,-165
,"legendary_statue3",,
,,"x","y"
,,"int","int"
,,3097,31541
,"legendary_statue4",,
,,"x","y"
,,"int","int"
,,14766,31416
,"legendary_torch2",,
,,"x","y"
,,"int","int"
,,20631,18458
,,23068,18082
,"smoke_glow1",,
,,"x","y"
,,"int","int"
,,6197,15625
,,11699,15625
,"smoke_glow2",,
,,"x","y"
,,"int","int"
,,8899,15625
,"smoke_glow3",,
,,"x","y"
,,"int","int"
,,1500,15750
,,16500,15750
,"LegendaryArena_Crystal1",,
,,"x","y"
,,"int","int"
,,432,14166
,,1599,31584
,,3197,-579
,"LegendaryArena_Crystal2",,
,,"x","y"
,,"int","int"
,,17766,13958
,,24135,20166
,"LegendaryArena_Crystal3",,
,,"x","y"
,,"int","int"
,,497,17207
,,20099,19666
,,16498,-208
,,14364,-209
,"LegendaryArena_Crystal4",,
,,"x","y"
,,"int","int"
,,17700,17041
,"LegendaryArena_Island1_float",,
,,"x","y"
,,"int","int"
,,-4000,6500
,,-17500,-5000
,"LegendaryArena_Island2_float",,
,,"x","y"
,,"int","int"
,,22000,7333
,,-37000,31000
,"LegendaryArena_Island2_float_blue",,
,,"x","y"
,,"int","int"
,,-4000,24000
,,39500,34500
,"LegendaryArena_Island1_float_blue",,
,,"x","y"
,,"int","int"
,,22000,28000
,"legendary_2v2_base_01",,
,,"x","y"
,,"int","int"
,,9000,
,"foldableBotFrame",,
,,"x","y"
,,"int","int"
,,4500,56500
,"foldableRightFrame",,
,,"x","y"
,,"int","int"
,,66000,-54000
,"foldableTopFrame",,
,,"x","y"
,,"int","int"
,,2500,-105000
,,2000,-136000
,"foldableLeftFrame",,
,,"x","y"
,,"int","int"
,,-58500,-54000
,,-63500,-91000
,,-105500,-68000
,,-133000,-33500
,,68500,-110000
,,132000,-105000
,,195500,-107500
,,238500,-105500
,,225000,500
,,269500,-3500
,,258000,34000
,,191000,-26000
,,155000,43000
,,197500,43500
,,120000,-20500
,,151000,-4500
,,104500,62500
,,65500,46500
,,4000,77500
"Background",,,
